Date,Time,Crop Name,Temperature,Humidity,Soil Moisture,Light Intensity,Temperature_LIH,Humidity_LIH,Soil_Moisture_LIH,Light_Intensity_LIH,Advice
6/12/23,14:02:23,Rice,21.82,94.93,72.61,9598.46,Low,High,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
27/5/24,5:06:12,Jute,38.21,75.59,62.2,26849.59,High,Ideal,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
12/9/24,4:00:38,Jute,40.78,52.91,65.93,53912.12,High,Low,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
6/11/23,16:45:35,Sugarcane,36.74,59.01,78.42,32188.51,High,Low,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
25/7/24,19:12:41,Rice,21.77,85.48,85.37,9947.77,Low,Ideal,High,Low,Adjust light exposure if possible or use supplementary lighting.
1/9/24,19:27:01,Rice,23.57,73.6,51.68,20273.68,Low,Ideal,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
25/9/23,6:47:05,Jute,40.25,52.85,65.37,53170.57,High,Low,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
28/5/24,18:18:32,Jute,40.96,79.99,65.62,26263.17,High,Ideal,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
15/2/24,22:06:28,Potato,18.2,82.15,85.67,11178.7,Ideal,Ideal,High,Ideal,Conditions are within the ideal range.
4/5/24,20:53:51,Potato,20.83,79.52,89.82,16808.81,Ideal,Low,High,High,Consider installing a misting system or using organic mulch to raise humidity levels.
16/5/24,19:46:24,Potato,18.85,81,86.54,9781.36,Ideal,Ideal,High,Ideal,Conditions are within the ideal range.
28/4/24,1:47:18,Jute,38.47,80.97,58.91,53214.63,High,High,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
5/9/24,4:28:28,Jute,21.21,76.83,60.95,41140.03,Low,Ideal,High,Ideal,Conditions are within the ideal range.
25/5/24,5:18:29,Potato,20.87,75.94,87.99,9479.11,Ideal,Low,High,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
18/1/24,9:59:16,Rice,24.95,98.97,52.1,20346.94,Low,High,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
12/7/24,17:50:52,Rice,23.58,67.93,53.01,9969.8,Low,Low,Low,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
3/4/24,9:56:53,Sugarcane,37.99,72.26,33.1,32313.18,High,Ideal,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
29/12/23,18:26:44,Sugarcane,39.73,78.18,73.57,29142.59,High,Ideal,High,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
31/8/24,8:42:55,Rice,23.19,73.66,72.85,21322.37,Low,Ideal,Ideal,High,Conditions are within the ideal range.
6/2/24,6:20:11,Sugarcane,23.82,85.42,77.66,21614.76,Low,High,High,Ideal,Conditions are within the ideal range.
26/10/23,0:01:50,Sugarcane,34.57,72.14,52.91,27043.17,Ideal,Ideal,Ideal,Ideal,Conditions are within the ideal range.
6/4/24,7:07:11,Potato,15.33,70.86,84.38,15787,Low,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
27/12/23,4:33:55,Rice,26.28,78.47,50.82,11724.69,Ideal,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
21/4/24,17:24:32,Jute,22.05,89.42,50.28,54300.7,Low,High,Ideal,High,Conditions are within the ideal range.
11/10/23,14:01:44,Jute,27.82,56.29,59.24,41347.43,Ideal,Low,Ideal,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
28/7/24,4:41:01,Rice,30.37,68.5,60.69,15048.23,Ideal,Low,Ideal,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
7/7/24,12:55:03,Jute,41.52,69.29,48.1,42224.87,High,Ideal,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
11/3/24,14:53:39,Wheat,10.51,63.99,14.45,26140.43,Low,High,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
11/7/24,20:53:03,Potato,24.91,93.96,87.26,6069.87,High,High,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
25/3/24,22:49:14,Jute,41.4,72.32,35.32,44585.13,High,Ideal,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
12/8/24,16:53:35,Wheat,26.48,47.44,23.81,25101.3,High,Low,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
10/10/23,3:19:37,Jute,32.7,81.77,58.73,47762.71,Ideal,High,Ideal,Ideal,Conditions are within the ideal range.
16/5/24,1:31:50,Wheat,23.38,53.65,42.1,20660.53,Ideal,Ideal,High,Ideal,Conditions are within the ideal range.
4/1/24,1:25:09,Wheat,10.01,43.74,48.08,20822.96,Low,Low,High,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
22/8/24,17:56:56,Jute,24.41,51.24,69.54,26069.33,Ideal,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
16/7/24,6:48:48,Jute,41.7,54.23,40.88,51570.51,High,Low,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
11/1/24,12:20:18,Rice,32.77,93.54,56.5,8284.27,Ideal,High,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
27/12/23,12:11:22,Rice,29.21,77.52,59.43,9904.55,Ideal,Ideal,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
15/3/24,7:45:32,Rice,38.44,97.83,80.54,9960.82,High,High,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
27/10/23,8:38:57,Jute,39.79,54.99,36.99,52532.71,High,Low,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
29/8/24,19:01:56,Rice,24.85,86.73,65.57,8604.08,Low,Ideal,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
12/9/24,16:53:49,Jute,29.5,57.5,67.14,43263.9,Ideal,Low,High,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
25/3/24,0:00:53,Wheat,10.51,45.26,45.64,26704.4,Low,Low,High,High,Consider installing a misting system or using organic mulch to raise humidity levels.
16/10/23,2:58:38,Rice,25.59,63.55,51.52,18771.55,Ideal,Low,Low,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
13/4/24,13:22:31,Sugarcane,36.47,69.89,61.22,19307.98,High,Ideal,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
29/8/24,7:25:38,Jute,21.04,80.31,33.45,50039.36,Low,High,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
16/9/24,4:47:12,Rice,27.81,64.11,84.55,9992.63,Ideal,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
23/8/24,11:01:33,Rice,29.47,88.71,59.78,18139.85,Ideal,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
31/12/23,9:36:17,Sugarcane,28.05,64.5,74.52,26642.03,Ideal,Ideal,High,Ideal,Conditions are within the ideal range.
27/9/23,9:22:13,Sugarcane,39.45,77.99,79.2,18593.28,High,Ideal,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
23/5/24,19:32:01,Wheat,25.37,61.44,32.87,21596.21,High,High,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
26/12/23,15:01:57,Jute,20.47,87.76,41.56,54489.83,Low,High,Ideal,High,Conditions are within the ideal range.
23/9/23,5:59:24,Rice,39.14,66.31,78.97,8480.03,High,Low,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
16/2/24,5:19:38,Sugarcane,26.61,57.32,46.82,26695.59,Ideal,Low,Ideal,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
23/7/24,13:42:21,Jute,26.36,55.21,64.14,28966.79,Ideal,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
9/12/23,12:27:06,Jute,40.38,74.92,60.78,51913.12,High,Ideal,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
29/2/24,21:58:29,Rice,32.31,74.03,80,8184.88,Ideal,Ideal,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
29/1/24,1:32:27,Sugarcane,25.64,77.74,73.7,31435.8,Ideal,Ideal,High,High,Conditions are within the ideal range.
8/9/24,0:44:03,Sugarcane,32.04,81.69,60.45,26198.79,Ideal,High,Ideal,Ideal,Conditions are within the ideal range.
24/1/24,18:05:42,Wheat,27.19,67.37,13.53,12401.22,High,High,Low,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
13/5/24,12:48:02,Rice,36.49,73.54,73.32,18224.49,High,Ideal,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
24/6/24,13:51:44,Jute,26.12,82.33,53.73,28456.47,Ideal,High,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
31/8/24,19:24:39,Jute,22.55,82.95,67.91,40948.95,Low,High,High,Ideal,Conditions are within the ideal range.
11/6/24,10:34:57,Potato,23.99,87.31,89.09,16906.58,High,Ideal,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
29/5/24,17:28:06,Potato,22.55,70.16,65.89,6730.6,High,Low,Low,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
28/9/23,9:12:32,Potato,21.41,94.35,86.81,6778.16,Ideal,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
12/2/24,12:14:53,Sugarcane,24.83,61.48,39.66,23611.75,Low,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
30/10/23,22:24:15,Jute,38.9,88.83,67.59,52479.08,High,High,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
28/7/24,15:49:53,Rice,36.7,91.71,82.47,20496.74,High,High,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
19/10/23,5:54:24,Potato,15.26,91.89,68.91,16653.41,Low,High,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
24/3/24,11:34:15,Sugarcane,20.01,56.86,41.19,31559.14,Low,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
23/3/24,11:47:47,Sugarcane,39.64,87.15,47.19,21591.44,High,High,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
12/4/24,16:23:14,Sugarcane,39.18,53.03,69.38,18202.07,High,Low,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
7/7/24,17:20:50,Rice,26.79,81.47,62.78,14864.55,Ideal,Ideal,Ideal,Ideal,Conditions are within the ideal range.
10/2/24,22:21:25,Sugarcane,38.98,88.26,31.16,31937.42,High,High,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
7/8/24,15:10:34,Wheat,20.72,51.55,25.5,26549.3,Ideal,Ideal,Ideal,High,Conditions are within the ideal range.
31/7/24,17:28:08,Jute,21.46,56.47,60.78,54411.1,Low,Low,High,High,Consider installing a misting system or using organic mulch to raise humidity levels.
31/10/23,22:39:26,Wheat,25.23,55.33,20.12,21097.57,High,Ideal,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
21/8/24,18:02:27,Potato,24.4,71.88,66.13,11619.71,High,Low,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
28/6/24,4:57:19,Wheat,10.45,42.98,42.27,14660.79,Low,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
26/2/24,18:15:17,Jute,28.49,78.64,47.01,29039.09,Ideal,Ideal,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
5/3/24,14:49:15,Sugarcane,26.27,52.66,63.79,26267.91,Ideal,Low,Ideal,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
27/9/23,0:13:38,Jute,34.77,89.38,65.79,25748.71,Ideal,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
26/11/23,2:14:49,Jute,29.42,87.12,64.51,38029.73,Ideal,High,High,Ideal,Conditions are within the ideal range.
19/9/24,12:05:04,Jute,33.09,88.84,33.06,54498.01,Ideal,High,Low,High,Increase irrigation frequency or use soil moisture-retention techniques.
15/8/24,19:42:45,Potato,24.2,89.26,68.01,16327.49,High,Ideal,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
18/4/24,23:49:30,Jute,20.69,72.98,62.37,48276.01,Low,Ideal,High,Ideal,Conditions are within the ideal range.
2/7/24,8:25:08,Rice,34.29,96.24,64.58,22242.93,Ideal,High,Ideal,High,Conditions are within the ideal range.
10/10/23,6:01:35,Jute,22.26,76.19,66.88,25582.76,Low,Ideal,High,Low,Adjust light exposure if possible or use supplementary lighting.
16/4/24,22:05:40,Jute,30.94,60.7,46.67,35038.9,Ideal,Ideal,Ideal,Ideal,Conditions are within the ideal range.
14/8/24,18:32:25,Wheat,11.2,55.29,38.39,26625.34,Low,Ideal,Ideal,High,Conditions are within the ideal range.
7/5/24,5:42:27,Potato,22.58,75.44,81.4,16180.5,High,Low,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
15/9/24,3:36:20,Rice,31.77,61.89,88.59,21906.48,Ideal,Low,High,High,Consider installing a misting system or using organic mulch to raise humidity levels.
5/8/24,16:10:50,Jute,26.1,86.78,61.32,26864.04,Ideal,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
3/1/24,12:27:24,Jute,36.47,62.15,43.92,51306.08,Ideal,Ideal,Ideal,High,Conditions are within the ideal range.
22/4/24,4:17:42,Wheat,12.47,54.1,35.91,20967.92,Ideal,Ideal,Ideal,Ideal,Conditions are within the ideal range.
28/7/24,22:35:12,Potato,23.65,94.28,76.61,15722.5,High,High,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
30/4/24,1:47:34,Jute,22.16,83.09,64.61,42531.33,Low,High,High,Ideal,Conditions are within the ideal range.
19/12/23,21:50:43,Wheat,22.35,46.32,48.44,16185.43,Ideal,Low,High,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
6/1/24,18:53:40,Wheat,10.26,57.53,42.94,18215.02,Low,Ideal,High,Ideal,Conditions are within the ideal range.
29/11/23,23:04:03,Jute,23.54,57.84,30.71,29278.57,Low,Low,Low,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
29/12/23,6:11:59,Rice,33.67,61.05,55.76,17420.99,Ideal,Low,Low,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
25/9/23,18:41:48,Sugarcane,38.07,61.81,33.33,19517.89,High,Ideal,Low,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
30/6/24,10:06:34,Sugarcane,39.55,54.91,59.76,19100.78,High,Low,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
3/10/23,18:12:42,Sugarcane,34.17,50.08,42.15,33155.07,Ideal,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
27/11/23,16:05:49,Jute,23.4,83.62,51.22,54881.12,Low,High,Ideal,High,Conditions are within the ideal range.
13/3/24,17:38:33,Rice,39.73,66.43,89.59,20573.28,High,Low,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
12/2/24,3:07:49,Rice,35.31,94.85,72.71,17640.28,High,High,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
27/11/23,18:27:33,Wheat,16.59,60.42,37.03,14927.16,Ideal,High,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
9/12/23,14:30:39,Sugarcane,35.82,64.65,77.51,21360.64,High,Ideal,High,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
29/5/24,20:31:38,Potato,20.22,90.2,62.91,11208.65,Ideal,High,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
31/5/24,23:20:55,Sugarcane,24.63,87.06,57.68,31688.21,Low,High,Ideal,High,Conditions are within the ideal range.
16/2/24,22:42:46,Jute,24.52,80.18,37.6,25114.54,Ideal,High,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
12/9/24,3:55:00,Wheat,11.51,59.22,17.39,14655.53,Low,Ideal,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
20/7/24,19:31:17,Rice,36.13,82.65,78.31,21693.86,High,Ideal,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
19/12/23,21:08:35,Potato,23.4,85.36,84.43,7514.47,High,Ideal,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
9/9/24,10:16:12,Wheat,25.24,65.8,12.04,12846.38,High,High,Low,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
12/12/23,21:37:28,Wheat,25.18,46.74,12.38,18779.6,High,Low,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
27/4/24,6:08:43,Potato,23.21,88.25,64.62,6134.86,High,Ideal,Low,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
30/1/24,21:15:07,Wheat,11.59,53.95,30.96,24928.4,Low,Ideal,Ideal,Ideal,Conditions are within the ideal range.
7/6/24,9:39:01,Potato,19.98,72.57,88.89,9403.26,Ideal,Low,High,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
18/5/24,16:45:51,Rice,37.43,98.25,68.57,15660.59,High,High,Ideal,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
15/9/24,10:40:24,Sugarcane,38.82,58.82,75.49,21217.19,High,Low,High,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
6/10/23,17:54:59,Sugarcane,37.39,61.02,51.39,18180.45,High,Ideal,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
11/1/24,9:08:57,Wheat,10.32,67.82,10.68,23512.36,Low,High,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
23/11/23,19:35:39,Potato,22.14,79.61,72.84,16498.38,High,Low,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
8/4/24,8:07:56,Potato,21.21,84.6,71.92,15209.97,Ideal,Ideal,Ideal,High,Conditions are within the ideal range.
4/3/24,0:26:46,Sugarcane,24.03,50.06,74.34,19909.55,Low,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
24/11/23,18:54:09,Jute,27.02,51.71,60.44,50494.13,Ideal,Low,High,High,Consider installing a misting system or using organic mulch to raise humidity levels.
24/2/24,14:55:06,Rice,34.71,97.49,78.53,21169.19,Ideal,High,Ideal,High,Conditions are within the ideal range.
20/11/23,5:41:15,Jute,39.2,83.73,65.03,50222.34,High,High,High,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
10/4/24,3:54:37,Potato,24.36,91.67,70,7900.18,High,High,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
28/9/23,1:53:40,Potato,17.91,91.31,76.24,15831.79,Low,High,Ideal,High,Conditions are within the ideal range.
3/2/24,7:23:28,Wheat,15.65,48.96,30.35,27052.43,Ideal,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
5/2/24,22:35:29,Potato,23.02,79.87,61.95,16715.57,High,Low,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
16/2/24,16:04:57,Rice,25.3,79.43,53.02,8527.05,Ideal,Ideal,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
15/11/23,19:17:32,Rice,31.18,63.44,83.04,9264.75,Ideal,Low,High,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Adjust light exposure if possible or use supplementary lighting.
15/2/24,21:20:28,Wheat,18.58,46.08,33.44,25759.76,Ideal,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
29/1/24,14:19:56,Jute,22.48,72.78,35.73,48893.56,Low,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
11/12/23,16:20:16,Potato,22.35,87.36,77.92,15481.11,High,Ideal,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
9/1/24,11:07:53,Jute,23.45,85.2,68.98,29486.88,Low,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
6/9/24,9:21:11,Wheat,11.47,62.53,39.65,24972.36,Low,High,Ideal,Ideal,Conditions are within the ideal range.
6/3/24,19:01:10,Wheat,11.67,69.6,17.61,12178.29,Low,High,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
12/6/24,17:15:27,Rice,24.24,60.42,71.51,21200.28,Low,Low,Ideal,High,Consider installing a misting system or using organic mulch to raise humidity levels.
4/10/23,21:19:55,Wheat,11.67,61.98,24.5,20302.57,Low,High,Ideal,Ideal,Conditions are within the ideal range.
31/1/24,5:47:41,Potato,17.69,92.6,85.69,6610.07,Low,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
16/8/24,21:50:39,Potato,20.77,82.29,62.05,12473.72,Ideal,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
21/6/24,5:45:33,Jute,36.19,70.81,30.13,26755.12,Ideal,Ideal,Low,Low,Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
